Country,YearsCode,EdLevel,Employment,LanguageHaveWorkedWith,ConvertedCompYearly
Ukraine,14.0,Master's,Full-time,3.0,61256.0
Netherlands,10.0,Associate's,Full-time,1.0,104413.0
Ukraine,12.0,Bachelor's,Full-time,4.0,53061.0
Ukraine,5.0,Bachelor's,Full-time,3.0,36197.0
Ukraine,22.0,Master's,Full-time,14.0,60000.0
Ukraine,20.0,Master's,Full-time,2.0,120000.0
Ukraine,30.0,Professional,Full-time,6.0,72000.0
Ukraine,15.0,Bachelor's,Full-time,3.0,70000.0
Ukraine,9.0,Master's,Full-time,5.0,65691.0
Ukraine,5.0,Bachelor's,Full-time,1.0,14400.0
Australia,40.0,Some college,Other,,16252.0
United States of America,11.0,Some college,Full-time,5.0,87500.0
United Kingdom of Great Britain and Northern Ireland,41.0,Bachelor's,Full-time,5.0,108913.0
Other,30.0,Master's,Full-time,4.0,162421.0
Sweden,36.0,Bachelor's,Full-time,4.0,209643.0
Other,13.0,Professional,Full-time,4.0,78000.0
United States of America,15.0,Master's,Full-time,11.0,205000.0
United States of America,23.0,Bachelor's,Full-time,5.0,250000.0
United States of America,26.0,Bachelor's,Full-time,3.0,175000.0
Germany,10.0,Bachelor's,Full-time,5.0,95132.0
United States of America,25.0,Master's,Full-time,15.0,109000.0
United Kingdom of Great Britain and Northern Ireland,25.0,Master's,Full-time,4.0,91215.0
United States of America,8.0,Bachelor's,Full-time,4.0,150000.0
United States of America,38.0,Professional,Full-time,7.0,99999.0
United States of America,25.0,Bachelor's,Full-time,4.0,270000.0
United States of America,35.0,Master's,Full-time,13.0,250000.0
Other,14.0,Master's,Full-time,3.0,43810.0
Other,23.0,Professional,Full-time,5.0,80966.0
Other,9.0,Bachelor's,Full-time,5.0,28275.0
United Kingdom of Great Britain and Northern Ireland,21.0,Bachelor's,Full-time,6.0,142949.0
Switzerland,12.0,Master's,Full-time,8.0,117793.0
Germany,19.0,Master's,Full-time,2.0,75410.0
Netherlands,18.0,Bachelor's,Full-time,6.0,81210.0
Other,25.0,Bachelor's,Full-time,12.0,63909.0
United States of America,8.0,Some college,Full-time,5.0,151000.0
Netherlands,13.0,Bachelor's,Full-time,5.0,83531.0
Other,10.0,Master's,Full-time,8.0,46406.0
Poland,12.0,Some college,Full-time,7.0,62767.0
United Kingdom of Great Britain and Northern Ireland,25.0,Bachelor's,Full-time,5.0,151117.0
Spain,20.0,Bachelor's,Full-time,3.0,67289.0
Other,30.0,Bachelor's,Full-time,8.0,197225.0
United States of America,41.0,Bachelor's,Full-time,5.0,245000.0
Other,5.0,Some college,Student,10.0,14850.0
Sweden,12.0,Bachelor's,Full-time,2.0,75472.0
France,20.0,Bachelor's,Full-time,6.0,174022.0
